quechua,normalizado,variantes,categoria,traduccion,definicion_completa
pipu,pipu,"pipu, sankhu, thaka",adj.,"Espeso, -sa. Denso","Espeso, -sa. Denso."
pipuchay,pipuchay,"pipuchay, pipuyachiy",tr.,"Compactar. Hacer compacta una cosa. pipuchay, thakay, sankhuchay. tr. Espesar. Volver o hacer espesa una cosa","Compactar. Hacer compacta una cosa. pipuchay, thakay, sankhuchay. tr. Espesar. Volver o hacer espesa una cosa."
pipuyay,pipuyay,pipuyay,intr.,"Apretarse, compactarse, espesarse","Apretarse, compactarse, espesarse. | Apretar. Comprimir,"
tupir,tupir,tupir,tr.,Mat'iy,Mat'iy.
piqay,piqay,piqay,tr.,Moler cereales u otros con el molejón sobre el batán,"Moler cereales u otros con el molejón sobre el batán. | Moler. Quebrantar un cuerpo, reduciéndolo a menudísimas partes o a polvo. Kutay. | Despedazar, desmenuzar. T'unay. | Moler con el mortero rústico hasta reducir a harina. Qhunay, qhinuy. piqpa?, piqpataq?. pron. interr. ¿Cuyo?"
piqtu,piqtu,"piqtu, chaqru, mich'u, ch'ali",s.,"Mezcla. Mezcladura, acción y efecto de mezclar o mezclarse. piqtuy, chaqruy, chhaqruy, mich'uy. tr. Entreverar. Mezclar sin orden","Mezcla. Mezcladura, acción y efecto de mezclar o mezclarse. piqtuy, chaqruy, chhaqruy, mich'uy. tr. Entreverar. Mezclar sin orden."
piqtuy,piqtuy,"piqtuy, ch'arwiy, ch'ipay",tr.,"Embrollar. Enredar, confundir las cosas","Embrollar. Enredar, confundir las cosas."
piqtuy,piqtuy,"piqtuy, mich'uy, chaqruy, ch'aliy, rawiy",tr.,Mezclar. Desordenar lo que ya estaba en orden,Mezclar. Desordenar lo que ya estaba en orden.
piqtuy,piqtuy,"piqtuy, piqtuchiy",tr.,"Debilitar. Agobiar, postrar, quitar el vigor","Debilitar. Agobiar, postrar, quitar el vigor. | Poner débil o adelgazar. Qhasñuy, qhasñuyachiy. | prnl. Debilitarse, adelgazarse, ponerse débil y delgadote. Qhasñuyay."
piqtuy,piqtuy,"piqtuy, rawiy, t'aqwiy",tr.,"Trastornar. Revolver, perturbar","Trastornar. Revolver, perturbar."
piqtuy,piqtuy,piqtuy,tr.,"Embadurnar. Manchar, pintarrajear. piqu, k'ullu phislu. adj y s. Biol. Xilófago, -ga. Dícese de los insectos que roen la madera","Embadurnar. Manchar, pintarrajear. piqu, k'ullu phislu. adj y s. Biol. Xilófago, -ga. Dícese de los insectos que roen la madera."
piray,piray,piray,tr.,"Signar. Hacer, poner o imprimir el signo","Signar. Hacer, poner o imprimir el signo. | Signar con la sangre de llama."
pirqa khatana,pirqa khatana,"pirqa khatana, churana",s.,Alacena. Armario hecho en la pared,Alacena. Armario hecho en la pared.
pirqa,pirqa,pirqa,s.,"Muro. Tapia, pared que sirve de cerco","Muro. Tapia, pared que sirve de cerco."
pirqa,pirqa,pirqa,s.,Pared. / Pared de la casa: Wasi pirqa,Pared. / Pared de la casa: Wasi pirqa.
pirqachay,pirqachay,pirqachay,tr.,Amurallar. Murar,Amurallar. Murar.
pirqaq,pirqaq,"pirqaq, pirqay kamayuq",s.,"Albañil. Alarife, constructor","Albañil. Alarife, constructor."
pirqay,pirqay,pirqay,tr.,"Construir paredes, edificios, etc","Construir paredes, edificios, etc."
pirta,pirta,pirta,s.,"Verdugo, persona muy cruel o que castiga sin piedad","Verdugo, persona muy cruel o que castiga sin piedad."
pirutu,pirutu,pirutu,s.,Flauta de hueso,Flauta de hueso.
pirutuy,pirutuy,pirutuy,tr.,Tañer de flauta de hueso,Tañer de flauta de hueso.
pirwa,pirwa,pirwa,s.,"Depósito. Lugar en que se pone, troje","Depósito. Lugar en que se pone, troje. | Depósito de mineral natural. Chuqi tiyana. | Edificio depósito. Qullqa. | Cosa en que se pone, lugar u objeto para guardar. Churana."
pirwa,pirwa,pirwa,s.,Planeta Júpiter,Planeta Júpiter.
pirway,pirway,pirway,tr.,Construir depósitos de productos o trojes,Construir depósitos de productos o trojes.
pirwaykuy,pirwaykuy,pirwaykuy,tr.,Entrojar. Guardar en la troje,Entrojar. Guardar en la troje.
pisi kay,pisi kay,pisi kay,s.,"Escasez. Existencia insuficiente de algo. pisi sunqu, juch'uy sunqu. adj. Pusilámine. Falto de ánimo o valor","Escasez. Existencia insuficiente de algo. pisi sunqu, juch'uy sunqu. adj. Pusilámine. Falto de ánimo o valor. | Cobarde. Llaklla."
pisi,pisi,"pisi, asila",adv.,"comparativo. Menos. Denota falta, disminución, inferioridad, limitación, etc","comparativo. Menos. Denota falta, disminución, inferioridad, limitación, etc."
pisi,pisi,pisi,adj.,"Poco, -ca. Escaso, limitado","Poco, -ca. Escaso, limitado. | adv. En pequeña cantidad, un poco, algo. As, tumpa."
pisi,pisi,pisi,adj.,"Escaso, -sa. Corto, poco, limitado. pisichay, allquchay, yanqachay","Escaso, -sa. Corto, poco, limitado. pisichay, allquchay, yanqachay,"
yanqhachay,yanqhachay,"yanqhachay, qisachay",tr.,Despreciar. Tener en poco,Despreciar. Tener en poco.
pisichay,pisichay,"pisichay, pisiyachiy",tr.,"Apocar. Reducir a menos. pisichay, qisachay, allquchay. tr. Menospreciar. Despreciar. pisichay, taksachay, juch'uyyachiy","Apocar. Reducir a menos. pisichay, qisachay, allquchay. tr. Menospreciar. Despreciar. pisichay, taksachay, juch'uyyachiy,"
juch'uychay,juch'uychay,juch'uychay,tr. e intr.,"Acortar. Disminuir la longitud, duración, etc. de alguna cosa","Acortar. Disminuir la longitud, duración, etc. de alguna cosa."
pisichiy,pisichiy,pisichiy,tr.,Hacer faltar,Hacer faltar. | intr. Faltar. No existir una cosa que debiera haber. Ch'usway.
pisipay,pisipay,pisipay,intr.,"Escasear, faltar, no alcanzar para todos","Escasear, faltar, no alcanzar para todos."
pisiy,pisiy,pisiy,s.,Carestía. Escasez,Carestía. Escasez.
pisiyachina,pisiyachina,pisiyachina,s.,"Resumen. pisiyachiy, yawyachiy, waywachiy. tr. Disminuir. Rebajar, hacer menos","Resumen. pisiyachiy, yawyachiy, waywachiy. tr. Disminuir. Rebajar, hacer menos. | intr. Volverse o hacerse menos. Yawyay, wayway, pisiyay, jiwiqay. pisiyay, yawyay, jiwiqay. s. Disminución. Acción y efecto de disminuir. pisiyay, yawyay, wayway, jiwiqay. intr. Volverse o hacerse menos. | Disminuir. Rebajar, hacer menos. tr. Yawyachiy, pisiyachiy, waywachiy."
pisiyay,pisiyay,pisiyay,intr.,"Escasear. Faltar, estar escaso","Escasear. Faltar, estar escaso."
pisku,pisku,pisku,s.,Agrietamiento producido por el frío en los labios y las manos . pita (<C). s. Cuerda y especialmente de la pita,"Agrietamiento producido por el frío en los labios y las manos (sinón: P'aspa). pita (<C). s. Cuerda y especialmente de la pita. | Ch'awar, ch'awara. Cabuya. Soga de crin o cerdas. pitankillu. Chhullunka. s. Carámbano. Pedazo de hielo que cuelga de una gotera. pitay. Mukay. tr. e intr. Fumar. Aspirar y despedir el humo del tabaco."
pitka,pitka,pitka,s.,"Andas, angarillas, litera, parihuela","Andas, angarillas, litera, parihuela."
pitu wanka,pitu wanka,pitu wanka,s.,Dúo. Canción o composición para dos voces,Dúo. Canción o composición para dos voces.
pitu,pitu,pitu,s.,Gofio. Harina de algunos cereales molidos después de ser tostados,Gofio. Harina de algunos cereales molidos después de ser tostados.
pitu,pitu,pitu,s.,Pareja. Conjunto de dos personas o cosas semejantes,Pareja. Conjunto de dos personas o cosas semejantes. | Enamorada o pareja del hombre. Yana. | Una pareja de animales. China urqu.
pituchay,pituchay,pituchay,tr.,Hacer formar pareja,"Hacer formar pareja. | Aparear. Ajustar una cosa con otra, de forma que queden iguales. Igualar. Khuskachay. | Separar por parejas. Yananchay. | Unir una cosa con otra formando par. T'inkiy, k'intiy."
pituy,pituy,pituy,tr. e intr.,Comer gofio o cereal pulverizado después de ser tostado,Comer gofio o cereal pulverizado después de ser tostado.
pitwiy,pitwiy,"pitwiy, p'itwiy",tr.,Procurar. Hacer diligencias o esfuerzos para conseguir algo,Procurar. Hacer diligencias o esfuerzos para conseguir algo.
puchu,puchu,puchu,s.,"Residuo. Sobra, parte que queda de un todo","Residuo. Sobra, parte que queda de un todo."
puchuchiy,puchuchiy,puchuchiy,tr.,Hacer sobrar,Hacer sobrar.
puchuy,puchuy,puchuy,intr.,Sobrar. Haber más de lo necesario,Sobrar. Haber más de lo necesario.
puka umiña,puka umiña,puka umiña,s.,"Rubí. Piedra preciosa, roja y muy brillante","Rubí. Piedra preciosa, roja y muy brillante."
puka,puka,puka,adj.,"Rojo, -ja. De color parecida a la sangre","Rojo, -ja. De color parecida a la sangre."
pukara,pukara,pukara,s.,"Fortaleza. Castillo, recinto fortificado","Fortaleza. Castillo, recinto fortificado. | Fuerza y vigor. Kallpancha. | Intrepidez, arrojo, osadía. Sinchi kay."
pukaray,pukaray,pukaray,tr.,Fortalecer,Fortalecer. | Fortificar.
pukayachiy,pukayachiy,"pukayachiy, p'inqachiy",tr.,Abochornar. Sonrojar,"Abochornar. Sonrojar. | Causar bochorno el excesivo calor. K'ajachiy, sansachiy. | prnl. Sonrojarse. P'inqakuy."
pukayachiy,pukayachiy,pukayachiy,tr.,Enrojecer. Poner rojo,"Enrojecer. Poner rojo. | intr. y prnl. Ponerse roja una cosa. Pukayay, pukayariy. pukllakuy, sawkay, sawkarikuy,"
pukllarikuy,pukllarikuy,pukllarikuy,intr.,Bromear. Hacer bromas,Bromear. Hacer bromas.
pukllana,pukllana,"pukllana, phukllana",s.,Juguete. Objeto con que se entretienen los niños,Juguete. Objeto con que se entretienen los niños.
pukllay,pukllay,"pukllay, phukllay",intr.,Jugar. Hacer algo con el solo fin de entretenerse o divertirse,Jugar. Hacer algo con el solo fin de entretenerse o divertirse.
pukllay,pukllay,"pukllay, phukllay",s.,Carnaval. Pukllay raymi: Fiesta del Carnaval,Carnaval. Pukllay raymi: Fiesta del Carnaval.
pukllay,pukllay,"pukllay, phukllay",s.,Juego. Acto de jugar,Juego. Acto de jugar.
pukpuka,pukpuka,"pukpuka, p'isaqa",s.,Codorniz. Ave gallinácea semejante a la perdiz,Codorniz. Ave gallinácea semejante a la perdiz.
puku puku,puku puku,puku puku,s.,Avecilla cantora de las cordilleras que repite su nombre en las mañanas y tardes . pukutay. Kamanchaka. s. Neblina. Niebla espesa y baja,"Avecilla cantora de las cordilleras que repite su nombre en las mañanas y tardes (sinón: Janitani, jani). pukutay. Kamanchaka. s. Neblina. Niebla espesa y baja."
pukyu,pukyu,"pukyu, juturi",s.,Fuente. Manantial,Fuente. Manantial.
pukyu,pukyu,"pukyu, ñap'u",s.,"Fontanela, cada uno de los espacios membranosos que hay en el cráneo humano y de muchos animales antes de su completa osificación","Fontanela, cada uno de los espacios membranosos que hay en el cráneo humano y de muchos animales antes de su completa osificación."
pukyu,pukyu,"pukyu, p'unqu",s.,Pozo. Hoyo en la tierra,Pozo. Hoyo en la tierra.
pulu,pulu,pulu,s.,Recipiente hecho de una calabaza. pullira (<C). s. Pollera. Prenda femenina,Recipiente hecho de una calabaza. pullira (<C). s. Pollera. Prenda femenina.
pullkanka,pullkanka,pullkanka,s.,"Rodela, adarga","Rodela, adarga."
pullpuy,pullpuy,pullpuy,intr.,Brotar el agua a borbotones,Brotar el agua a borbotones.
pullqa,pullqa,pullqa,s.,Parapeto,Parapeto.
pullqay,pullqay,pullqay,tr.,"Esquivar. Evitar, rehuir","Esquivar. Evitar, rehuir."
pullullu,pullullu,pullullu,s.,Burbuja,Burbuja (sinón: Phukpu).
pullulluy,pullulluy,pullulluy,intr.,Burbujear,Burbujear (sinón: Phukpuy).
pullurki,pullurki,"pullurki, qhiñipa",s.,"Parte prominente y curvilínea cubierta de pelo, sobre la cuenca del ojo","Parte prominente y curvilínea cubierta de pelo, sobre la cuenca del ojo."
puma,puma,puma,s.,Puma (<Q),Puma (<Q).
pumayna,PUMA JIÑA,"pumayna, PUMA JIÑA",adj.,Fiero y fuerte como el puma,Fiero y fuerte como el puma.
pumpiy,pumpiy,pumpiy,tr.,Preparar comida de verdura rellena,"Preparar comida de verdura rellena. | Rellenar. Volver a llenar parcial o enteramente, una cosa. Junt'achiy. | Hacer cumplir. Junt'achiy. | Llenar de carne picada, embutir. T'iqiy."
puna,puna,puna,s.,"Puna (<Q). Tierra alta cercana a los Andes. punchu (<C<Mapuche). s. Poncho. Prenda de abrigo que consiste en una manta cuadrangular, con una abertura en el centro, por donde pasa la cabeza, y que cuelga desde los hombros hasta la cintura","Puna (<Q). Tierra alta cercana a los Andes. punchu (<C<Mapuche). s. Poncho. Prenda de abrigo que consiste en una manta cuadrangular, con una abertura en el centro, por donde pasa la cabeza, y que cuelga desde los hombros hasta la cintura. | Qhata. Abrigo. Cobija, defensa contra el frío."
punki manay,punki manay,punki manay,intr.,Hincharse excesivamente,Hincharse excesivamente.
punki,punki,"punki, p'umpu",adj.,"Hinchado, -da. Abultado","Hinchado, -da. Abultado. | s. Hinchazón. Efecto de hinchar o hincharse."
punkichiy,punkichiy,punkichiy,tr.,Hacer hinchar,Hacer hinchar.
punkiray,punkiray,punkiray,intr.,"Deshincharse, desinflarse","Deshincharse, desinflarse."
punkiy,punkiy,"punkiy, p'umpukuy",prnl.,Hincharse. Aumentar de volumen un objeto,Hincharse. Aumentar de volumen un objeto.
punku kamayuq,punku kamayuq,punku kamayuq,s.,"Portero, -ra. Persona que guarda, abre y cierra las puertas","Portero, -ra. Persona que guarda, abre y cierra las puertas."
punku kiru,punku kiru,punku kiru,s.,Diente incisivo,Diente incisivo.
punku,punku,punku,s.,Pongo. Indígena que hace oficios de criado. Portero que dormía en la puerta de la casa del patrón,Pongo. Indígena que hace oficios de criado. Portero que dormía en la puerta de la casa del patrón.
punku,punku,punku,s.,Puerta,"Puerta. | Entrada. Ingreso. Yaykuna, jaykuna. punkurawi. Masma s. Zaguán. Vestíbulo, entrada."
puñu,puñu,puñu,adj.,Del día anterior,Del día anterior.
puñuchiy,puñuchiy,puñuchiy,tr.,Hacer dormir,Hacer dormir.
puñuna wasi,puñuna wasi,puñuna wasi,s.,Dormitorio,Dormitorio.
puñuna,puñuna,puñuna,s.,Cama. Sitio donde uno se puede acostar,Cama. Sitio donde uno se puede acostar. | Lecho de laguna secada. Qusqu.
