quechua,normalizado,variantes,categoria,traduccion,definicion_completa
chawpi killa,chawpi killa,chawpi killa,s.,Cuarto creciente,Cuarto creciente. | Luna. Killa. | Luna llena. Pura killa. | Luna nueva. Unu killa. | Cuarto menguante. Wañu killa.
chawpi p'unchawta mikhuy,chawpi p'unchawta mikhuy,chawpi p'unchawta mikhuy,tr.,Comer al mediodía,Comer al mediodía. | s. Yantar. Comida. Mikhuna.
chawpi tuta,chawpi tuta,chawpi tuta,s.,Medianoche. Las doce de la noche,Medianoche. Las doce de la noche.
chawpi,chawpi,chawpi,adj. y s.,"Medio, -dia. Centro","Medio, -dia. Centro. | Mitad, parte que resulta de una división igual. Khuskan."
chawpichay,chawpichay,chawpichay,tr.,"Centrar, colocar una cosa al centro","Centrar, colocar una cosa al centro."
chawqa,chawqa,"chawqa, chhanqa, aqu",s.,Cascajo. Guijo,Cascajo. Guijo.
chawraq sipas,chawraq sipas,chawraq sipas,s.,Muchacha en plena juventud,Muchacha en plena juventud.
chawraq wayna,chawraq wayna,chawraq wayna,s.,Joven en plenitud,Joven en plenitud.
chawraq,chawraq,chawraq,adj.,"Hecho a medias. chay chhika, achkha, manchay. adj. Bastante. Que basta","Hecho a medias. chay chhika, achkha, manchay. adj. Bastante. Que basta. | adv. Demasiado. Ancha."
chay pacha,chay pacha,chay pacha,adv.,Entonces. En aquel tiempo u ocasión,Entonces. En aquel tiempo u ocasión.
chay pacha,chay pacha,chay pacha,adv.,rel. Cuando,rel. Cuando.
chay,chay,chay,adj.,"dem. pl. Esos, esas. / Esos jóvenes eran flojos. Chay waynakunaqa qhilla karqanku","dem. pl. Esos, esas. / Esos jóvenes eran flojos. Chay waynakunaqa qhilla karqanku."
chay,chay,chay,adj.,"dem. Ese, esa. / Ese joven era flojo. Chay waynaqa qhilla karqa","dem. Ese, esa. / Ese joven era flojo. Chay waynaqa qhilla karqa."
chay,chay,chay,pron.,"dem. Ése, ésa, eso (en especial). / ¿Qué es eso?: Imataq chay?","dem. Ése, ésa, eso (en especial). / ¿Qué es eso?: Imataq chay?."
chaya,chaya,chaya,s.,"Cocción, cocimiento","Cocción, cocimiento."
chaya,chaya,chaya,s.,Llegada. Acción de llegar,Llegada. Acción de llegar.
chayachinakuy,chayachinakuy,chayachinakuy,prnl.,Tener participación en alguna acción,Tener participación en alguna acción.
chayachiy,chayachiy,chayachiy,tr.,Hacer cocer el alimento,Hacer cocer el alimento. | Dar en blanco.
chayamuy,chayamuy,chayamuy,intr.,Llegar de venida o de regreso. chayanta (JAL). s. Estaño. Metal blanco muy conocido,"Llegar de venida o de regreso. chayanta (JAL). s. Estaño. Metal blanco muy conocido. | Estaño, composición metálica para soldar. Chapi."
chayaq sipas,chayaq sipas,chayaq sipas,s.,Joven casadera. Moza ya madura,Joven casadera. Moza ya madura.
chayaqi,chayaqi,chayaqi,s.,Pariente lejano,Pariente lejano.
chayaqiyuq,chayaqiyuq,chayaqiyuq,adj. y s.,Persona que tiene derecho u opción,Persona que tiene derecho u opción.
chayasqa,chayasqa,chayasqa,adj. y p.,"p. Cocido, -da","p. Cocido, -da."
chayay,chayay,chayay,intr.,Cocer algo en un líquido,Cocer algo en un líquido. | Cocer. Mantener un alimento crudo en agua hirviente para hacerlo comestible. Chayachiy.
chayay,chayay,chayay,intr.,Llegar. Arribar,Llegar. Arribar. | Llegar aquí. Chayamuy.
chayaykuna,chayaykuna,"chayaykuna, asuykuna",adj.,"Accesible. De fácil acceso. chaychay, utqhachiy, jump'ichiy. tr. Apremiar. Dar prisa","Accesible. De fácil acceso. chaychay, utqhachiy, jump'ichiy. tr. Apremiar. Dar prisa."
chaykuna,chaykuna,chaykuna,pron.,"dem. pl. Ésos, ésas. / Qué son ésos?: Imataq chaykuna?","dem. pl. Ésos, ésas. / Qué son ésos?: Imataq chaykuna?"
chaylla,chaylla,chaylla,adv.,"Eso solamente, eso nomás, nada más","Eso solamente, eso nomás, nada más."
chayman,chayman,chayman,adv.,A ese lugar,"A ese lugar. | Chaypi. Ahí. Én ese lugar. chaymanta. Qhipamanta, jinamanta. adv. Después de eso. | Después. Denota posterioridad. Chanta."
chayñiqpi,chayñiqpi,chayñiqpi,adv.,Por ahí precisamente,Por ahí precisamente.
chayñiy,chayñiy,"chayñiy, juñiy",intr.,"Acceder. Tener acceso a una situación, condición o grados superiores","Acceder. Tener acceso a una situación, condición o grados superiores. | Aceptar, prometer. Simin niy."
chaypi,chaypi,chaypi,adv.,Ahí. En ese lugar,Ahí. En ese lugar. | A ese lugar. Chayman.
chayraq runa,chayraq runa,"chayraq runa, wamaq jamuq",adj. y s.,"Chapetón, -na. Dícese del español recién llegado a América y por extensión del europeo en iguales condiciones","Chapetón, -na. Dícese del español recién llegado a América y por extensión del europeo en iguales condiciones."
chayrayku,chayrayku,chayrayku,adv.,"Por eso, por ese motivo, por esa razón","Por eso, por ese motivo, por esa razón."
chichi,chichi,chichi,s.,fam. Carne,fam. Carne. | Carne. Aycha.
chichilla,chichilla,chichilla,s.,"Cierto tipo de tejido de colores combinados que se sobreteje alrededor de los bordes de aguayos, chuspas, etc","Cierto tipo de tejido de colores combinados que se sobreteje alrededor de los bordes de aguayos, chuspas, etc."
chichillay,chichillay,chichillay,tr.,sobretejer con la chichilla los bordes de los aguayos u otros tejidos similares,sobretejer con la chichilla los bordes de los aguayos u otros tejidos similares.
chichu kay,chichu kay,chichu kay,s.,Preñez. Estado de la hembra preñada,Preñez. Estado de la hembra preñada. | Úsase para personas. Wiksayuq kay.
chichu lata,chichu lata,chichu lata,neol.,s. Garrafa,s. Garrafa.
chichu,chichu,chichu,adj.,Preñada. Término más usado para animales,Preñada. Término más usado para animales. | Encinta. Dícese de la mujer embarazada. Wiksayuq.
chichuyachiy,chichuyachiy,chichuyachiy,tr.,"Embarazar. Empreñar. chichuyakuy, wiksallikuy, wiksayakuy","Embarazar. Empreñar. chichuyakuy, wiksallikuy, wiksayakuy,"
chichuyay,chichuyay,chichuyay,intr. e tr.,Concebir. Quedar preñada la hembra,Concebir. Quedar preñada la hembra.
chichuyay,chichuyay,chichuyay,intr.,"Embarazarse, ponerse encinta la hembra","Embarazarse, ponerse encinta la hembra."
chikcha,chikcha,chikcha,s.,"Gasto, inversión de dinero","Gasto, inversión de dinero."
chikchay,chikchay,chikchay,tr.,Gastar. Invertir alguna suma de dinero,Gastar. Invertir alguna suma de dinero. | Usar. Thantay.
chikchi,chikchi,"chikchi, Para",s.,Granizada. Copia de granizo que cae de una vez,Granizada. Copia de granizo que cae de una vez.
chikchi,chikchi,chikchi,s.,Granizo. Lluvia congelada que cae en granos,Granizo. Lluvia congelada que cae en granos. | Granizo de partículas grandes. Runtu.
chikchiy,chikchiy,chikchiy,intr.,Granizar. Caer granizo. chiki. K'alla. s. zool. Cotorra. chikikuy. Ch'iki. s. Envidia,Granizar. Caer granizo. chiki. K'alla. s. zool. Cotorra. chikikuy. Ch'iki. s. Envidia.
chikikuy,chikikuy,chikikuy,tr.,"Envidiar. Tener envidia, sentir el bien ajeno. chiklla, chikllu, aklla, aqlla. s. Selección. Elección de lo mejor. chikllasqa, akllasqa, aqllasqa. adj. Selecto, -ta. Escogido","Envidiar. Tener envidia, sentir el bien ajeno. chiklla, chikllu, aklla, aqlla. s. Selección. Elección de lo mejor. chikllasqa, akllasqa, aqllasqa. adj. Selecto, -ta. Escogido. | Aplícase a los productos de gran tamaño y calidad. Wanlla."
chikllasqa,chikllasqa,chikllasqa,adj.,Escogido para algún fin,Escogido para algún fin.
chikllay,chikllay,"chikllay, akllay, aqllay",tr.,"Seleccionar. Elegir, escoger","Seleccionar. Elegir, escoger. | Juntar los buenos tubérculos de los de calidad inferior en tamaño. Wanllay (JAL)."
chikllu,chikllu,"chikllu, aklla, aqlla",s.,Selección menuciosa,Selección menuciosa.
chikllusqa,chikllusqa,chikllusqa,adj.,"Selecto, escogido","Selecto, escogido."
chiklluy,chiklluy,"chiklluy, akllay, aqllay",tr.,"Seleccionar, escoger","Seleccionar, escoger."
chili runa,chili runa,chili runa,adj. y s.,"Chileno, -na. Persona de Chile","Chileno, -na. Persona de Chile."
chilina,chilina,"chilina, tuktun",s.,Tuétano. Médula del hueso,Tuétano. Médula del hueso.
chillki,chillki,chillki,s.,Retoño. Vastago o tallo que echa de nuevo la planta,Retoño. Vastago o tallo que echa de nuevo la planta.
chillkiy,chillkiy,chillkiy,intr.,"Retoñar, retoñecer, volver a echar vastagos la planta","Retoñar, retoñecer, volver a echar vastagos la planta."
chillpa,chillpa,"chillpa, q'illpa, q'imina",s.,Cuña. Pieza u objeto para cuñar,Cuña. Pieza u objeto para cuñar.
chillpay,chillpay,"chillpay, q'imiy",tr.,Acuñar. Meter cuñas,Acuñar. Meter cuñas.
chimay,chimay,"chimay, ch'amqay, waqlliy",tr.,"Dañar. Ajar, menoscabar","Dañar. Ajar, menoscabar."
chimpa,chimpa,chimpa,adv.,"Enfrente. A la parte opuesta, en punto que mira a otro, o que está delante de otro","Enfrente. A la parte opuesta, en punto que mira a otro, o que está delante de otro."
chimpa,chimpa,chimpa,s.,"Orilla opuesta del río, quebrada o barranco que está al frente de uno. chimpachiy, qayllachiy, asuchiy, achhuchiy, k'askachiy, sispachiy. tr. Acercar. Poner cerca o a menor distancia","Orilla opuesta del río, quebrada o barranco que está al frente de uno. chimpachiy, qayllachiy, asuchiy, achhuchiy, k'askachiy, sispachiy. tr. Acercar. Poner cerca o a menor distancia."
chimpachiy,chimpachiy,chimpachiy,tr.,Contagiar,Contagiar. | Contaminar.
chimpay,chimpay,"chimpay, qayllay, qayllakuy, sispay",intr.,Acercarse,Acercarse.
chimpay,chimpay,chimpay,tr.,"Cruzar. Atravesar un río, pasar a la otra orilla","Cruzar. Atravesar un río, pasar a la otra orilla."
chimpu,chimpu,chimpu,s.,Señal. Marca,"Señal. Marca. | Signo. Unancha. | Signo alfabético. Sananpa. | Signo trazado para distinguir o separar alguna cosa. Tuyru. | Mojón, hito. Saywa. chimpuy. Tuyruy. tr. Señalar. Marcar. | Signar. Unanchay."
china kunka,china kunka,china kunka,s.,"Voz afeminada, voz soprano","Voz afeminada, voz soprano."
china urqu,china urqu,china urqu,s.,Una pareja de animales,Una pareja de animales. | Pareja. Conjunto de dos personas o cosas semejantes. Pitu. | Enamorada o pareja del hombre. Yana.
china,china,china,adj. y s.,Hembra. Animal del sexo femenino. / Llama hembra: China llama,Hembra. Animal del sexo femenino. / Llama hembra: China llama.
china,china,china,s.,"fig. Criada, sirvienta","fig. Criada, sirvienta."
chincha,chincha,chincha,s.,Norte. Punto cardinal,Norte. Punto cardinal.
chinchasuyu,chinchasuyu,"chinchasuyu, chinchaysuyu",s.,Parte norte del Tawantinsuyu,Parte norte del Tawantinsuyu.
chinchi,chinchi,"chinchi, chinchi uchu",s.,"Una variedad de ají, menuda y muy picante","Una variedad de ají, menuda y muy picante."
chinkachiy,chinkachiy,"chinkachiy, ch'usaqyachiy",tr.,Hacer desaparecer,"Hacer desaparecer. | intr. Desaparecer. Ocultarse o perderse repentinamente. Chinkay, chinkapuy, pakay, chinkariy."
chinkachiy,chinkachiy,chinkachiy,tr.,Extraviar. Hacer perder el camino,Extraviar. Hacer perder el camino.
chinkachiy,chinkachiy,chinkachiy,tr.,Perder. Dejar de tener algo que se poseía,"Perder. Dejar de tener algo que se poseía. | prnl. Perderse, extraviarse. Chinkay."
chinkana,chinkana,chinkana,s.,Laberinto. Cosa confusa y enredada. Lugar desconocido para ocultarse,Laberinto. Cosa confusa y enredada. Lugar desconocido para ocultarse.
chinkarikuy,chinkarikuy,chinkarikuy,prnl.,"Perderse apenas, esconderse a medias","Perderse apenas, esconderse a medias. | Esconderse. Pakakuy."
chinkariy,chinkariy,"chinkariy, chinkay, chinkapuy, pakay",intr.,Desaparecer. Ocultarse o perderse repentinamente,"Desaparecer. Ocultarse o perderse repentinamente. | tr. Hacer desaparecer. Chinkachiy, ch'usaqyachiy."
chinkariy,chinkariy,chinkariy,intr.,"Desvanecerse. Desmayarse, turbarse la cabeza por un vahído","Desvanecerse. Desmayarse, turbarse la cabeza por un vahído."
chinkay,chinkay,"chinkay, chinkapuy, pakay, chinariy",intr.,Desaparecer. Ocultarse o perderse repentinamente,"Desaparecer. Ocultarse o perderse repentinamente. | tr. Hacer desaparecer. Chinkachiy, ch'usaqyachiy."
chinkay,chinkay,chinkay,intr.,"Perderse, extraviarse","Perderse, extraviarse. | tr. Perder. Dejar de tener algo que se poseía. Chinkachiy."
chinru,chinru,chinru,adj.,"Ladeado, inclinado a un lado","Ladeado, inclinado a un lado."
chinruy,chinruy,chinruy,intr.,"Ladearse, inclinarse más a un lado que a su opuesto","Ladearse, inclinarse más a un lado que a su opuesto. | tr. Ladear, inclinar una cosa más a un lado que al otro."
chinu,chinu,chinu,s.,Caricia entre las palomas,Caricia entre las palomas. | Caricia. Demostración cariñosa o amorosa. Wayllu.
chinuy,chinuy,chinuy,tr.,Acariciar la paloma a su pareja o a sus polluelos,Acariciar la paloma a su pareja o a sus polluelos.
chiñi,chiñi,"chiñi, masu",s.,Murciélago,Murciélago.
chipa,chipa,"chipa, tuklla, tukllana, tuqllana, urmana",s.,Armadijo. Trampa para cazar animales,Armadijo. Trampa para cazar animales.
chipa,chipa,chipa,s.,Travesano,Travesano. | Remache.
chipana,chipana,chipana,s.,Brazalete. Pulsera. Chipana,Brazalete. Pulsera. Chipana. | Collar. Wallqa.
chipay,chipay,chipay,tr.,Armar trampa,Armar trampa. | Maniatar.
chiqa,chiqa,"chiqa, chiqaq",adj.,"Verdadero, -ra. Conforme a la verdad o a la realidad","Verdadero, -ra. Conforme a la verdad o a la realidad."
chiqa,chiqa,"chiqa, sullull",s.,Verdad. Certeza,Verdad. Certeza.
chiqachay,chiqachay,chiqachay,tr.,"Enderezar, rectificar. chiqan ñiy, chiqa ñiy, takyachiy. tr. Afirmar. Asegurar o dar por cierta alguna cosa","Enderezar, rectificar. chiqan ñiy, chiqa ñiy, takyachiy. tr. Afirmar. Asegurar o dar por cierta alguna cosa."
chiqan,chiqan,"chiqan, siwk",adj.,"Recto, -ta. Derecho, directo","Recto, -ta. Derecho, directo. | Liso, parejo, muy igual y pulimentado. Siwk. chiqan. fig. Recto, justo."
chiqanchay,chiqanchay,"chiqanchay, allinchay",tr.,"Enmendar. Corregir, quitar defectos","Enmendar. Corregir, quitar defectos. | Escarmentar, corregir rigurosamente. Wanachiy. | prnl. Enmendarse. Chiqanyay. | intr. Tomar enseñanza de lo que uno ha visto y experimentado, escarmentar. Wanay. chiqanchay. fig. y fam. Sikllay,"
sikllachay,sikllachay,sikllachay,tr.,"Rectificar. Corregir, reducir algo a la exactitud debida","Rectificar. Corregir, reducir algo a la exactitud debida."
chiqanchay,chiqanchay,chiqanchay,tr.,"Enderezar. Poner recto, arrectar","Enderezar. Poner recto, arrectar."
chiqaq,chiqaq,"chiqaq, chiqa",adj.,"Verdadero, -ra. Conforme a la verdad o a la realidad","Verdadero, -ra. Conforme a la verdad o a la realidad."
chiqaqchay,chiqaqchay,"chiqaqchay, sullullchay",tr.,Verificar. Comprobar la verdad de algo,Verificar. Comprobar la verdad de algo.
chiqaqmanta,chiqaqmanta,chiqaqmanta,adv.,De verdad,De verdad.
chiqchi,chiqchi,chiqchi,adj.,Dícese de la persona que ríe levemente mostrando los dientes,Dícese de la persona que ríe levemente mostrando los dientes.
chiqchiriy,chiqchiriy,"chiqchiriy, chiqchiy",intr.,"Sonreír. Reírse levemente y sin ruido, con un simple movimiento de labios","Sonreír. Reírse levemente y sin ruido, con un simple movimiento de labios."
chiqchiy,chiqchiy,"chiqchiy, chiqchiriy",intr.,"Sonreír. Reírse levemente y sin ruido, con un simple movimiento de labios","Sonreír. Reírse levemente y sin ruido, con un simple movimiento de labios."
chiqnikuq,chiqnikuq,"chiqnikuq, chiqniq",adj.,"Xenófobo, -ba. Que siente xenofobia","Xenófobo, -ba. Que siente xenofobia."
chiqnina,chiqnina,chiqnina,adj.,"Aborrecible. Abominable, que se puede odiar","Aborrecible. Abominable, que se puede odiar."
chiqnina,chiqnina,chiqnina,s.,"Discriminación, odio","Discriminación, odio. | adj. aborrecible, odioso."
chiqninakuy,chiqninakuy,chiqninakuy,s.,Odio entre humanos o animales,Odio entre humanos o animales. | Odio. Antipatía y aversión hacia alguna cosa o persona. Chiqniy.
chiqniq,chiqniq,chiqniq,adj. y s.,El que odia o aborrece,El que odia o aborrece. | Rencoroso.
chiqnisqa,chiqnisqa,chiqnisqa,adj.,"Odiado, -da. Aborrecido, malquerido","Odiado, -da. Aborrecido, malquerido."
chiqniy,chiqniy,"chiqniy, milla",s.,Aborrecimiento,Aborrecimiento.
chiqniy,chiqniy,chiqniy,s.,Odio. Antipatía y aversión hacia alguna cosa o persona,Odio. Antipatía y aversión hacia alguna cosa o persona. | Odio entre humanos o animales. Chiqninakuy.
chiqniy,chiqniy,chiqniy,tr.,Aborrecer. Tener aversión a una persona o cosa,Aborrecer. Tener aversión a una persona o cosa.
chiqniy,chiqniy,chiqniy,tr.,Odiar. Tener odio,Odiar. Tener odio.
chira,chira,chira,s.,Pepa de locoto o ají,"Pepa de locoto o ají. | Pepita. Pepa, simiente de algunas frutas. Ruru."
chirakru,chirakru,chirakru,s.,"Llantén. Hierba plantaginácea, usada en medicina como secante y refrescante","Llantén. Hierba plantaginácea, usada en medicina como secante y refrescante. | Una variedad de llantén. Saqarara (JAL)."
chirapa,chirapa,chirapa,adj.,fig. despectivo. Mujer minera,fig. despectivo. Mujer minera.
chirapa,chirapa,chirapa,s.,Lluvia en pleno sol,Lluvia en pleno sol.
chiraw,chiraw,chiraw,s.,"Invierno, época de hielos y fríos glaciales (JAL). chirayay, tikayay, qurpayay. intr. Cuajarse. Solidificarse","Invierno, época de hielos y fríos glaciales (JAL). chirayay, tikayay, qurpayay. intr. Cuajarse. Solidificarse."
chiri mita,chiri mita,chiri mita,s.,Invierno. La estación más fría del año,Invierno. La estación más fría del año.
chiri sunqu,chiri sunqu,chiri sunqu,adj.,"Indiferente, impasible","Indiferente, impasible."
chiri,chiri,chiri,adj.,"Frío, -a. De temperatura inferior. / Agua fría: Chiri yaku","Frío, -a. De temperatura inferior. / Agua fría: Chiri yaku."
chiri,chiri,chiri,s.,Frío,Frío.
chirichiy,chirichiy,chirichiy,tr.,Causar frío. Hacer que uno sienta frío,Causar frío. Hacer que uno sienta frío.
chirimuya,chirimuya,chirimuya,s.,Árbol frutal de la familia de las anonáceas,Árbol frutal de la familia de las anonáceas.
chiriy,chiriy,chiriy,intr.,Hacer frío,Hacer frío.
chiriyachiy,chiriyachiy,chiriyachiy,tr.,Enfriar. Quitar o hacer perder el calor,"Enfriar. Quitar o hacer perder el calor. | prnl. Enfriarse. Chiriyay. chiriyarichiy. Chhuyuchay, chhuyuchiy. tr. Refrescar. Moderar el calor. chiriyasqa. p.p. Enfriado."
chirma,chirma,"chirma, waqlli",s.,Daño. Detrimento,Daño. Detrimento.
chirmaw para,chirmaw para,chirmaw para,s.,Chubasco. Aguacero con mucho viento,Chubasco. Aguacero con mucho viento.
chirmay,chirmay,chirmay,tr.,"Dañar, perjudicar, echar a perder","Dañar, perjudicar, echar a perder."
chiru,chiru,"chiru, waqta",s.,"Lado, parte lateral. chisniy (Pot.). intr. fam. En lenguaje infantil, dormir","Lado, parte lateral. chisniy (Pot.). intr. fam. En lenguaje infantil, dormir."
chita,chita,chita,s.,Cría pequeña de la oveja generalmente domesticada,Cría pequeña de la oveja generalmente domesticada. | Cría. Animal pequeño. Uña. | Cría de la llama. Tiwi.
chiwanku,chiwanku,"chiwanku, chiwaku",s.,"Zorzal. Pájaro dentirrostro, semejante al tordo, que tiene el plumaje pardo negruzco en la parte superior, rojizo en la inferior y blanco en el vientre","Zorzal. Pájaro dentirrostro, semejante al tordo, que tiene el plumaje pardo negruzco en la parte superior, rojizo en la inferior y blanco en el vientre."
chiway,chiway,chiway,intr.,Copular las aves,"Copular las aves. | Copular. Unirse sexualmente el macho y la hembra de los animales superiores. Yuquy, juñunakuy, t'inkinakuy, urway. | Copular los cuadrúpedos. Sarunakuy."
chiwchi,chiwchi,chiwchi,s.,"Polluelo. Pollito, cría de las aves","Polluelo. Pollito, cría de las aves. | Pichón. Irpa."
chiwi chiwiy,chiwi chiwiy,chiwi chiwiy,intr.,Susurrar o silvar el viento entre los árboles 0 chocando con la peña o pared,Susurrar o silvar el viento entre los árboles 0 chocando con la peña o pared.
chuchaw,chuchaw,"chuchaw, paqpa",s.,Pita. Maguey,Pita. Maguey.
chuchi,chuchi,chuchi,adj. y s.,"Tordo, -da. Dícese de la bestia que tiene el pelo mezclado de blanco y negro","Tordo, -da. Dícese de la bestia que tiene el pelo mezclado de blanco y negro."
chuchu,chuchu,chuchu,s.,"fam. Teta, mama, glándula mamaria","fam. Teta, mama, glándula mamaria."
chuchupa,chuchupa,chuchupa,s.,"Capricho, testarudez, resistencia con obstinación","Capricho, testarudez, resistencia con obstinación."
chuchupachiy,chuchupachiy,chuchupachiy,tr.,"Encaprichar, hacer que uno se obstine en su capricho","Encaprichar, hacer que uno se obstine en su capricho."
chuchupakuy,chuchupakuy,chuchupakuy,prnl.,"encapricharse, obstinarse","encapricharse, obstinarse."
chuchuqa,chuchuqa,chuchuqa,s.,"Maíz medio hervido y secado al sol, que suele guardarse en conserva (JAL)","Maíz medio hervido y secado al sol, que suele guardarse en conserva (JAL)."
chuchuqay,chuchuqay,chuchuqay,tr.,Preparar con maíz hervido conserva reseca (JAL). chuchuy. Ñuñuy. tr. fam. Mamar la leche,Preparar con maíz hervido conserva reseca (JAL). chuchuy. Ñuñuy. tr. fam. Mamar la leche.
chukcha rutukuy,chukcha rutukuy,chukcha rutukuy,prnl.,y r. Cortarse el pelo,y r. Cortarse el pelo.
chukcha,chukcha,chukcha,s.,Cabello,"Cabello. | Pelo. Filamento que nace en el cutis. Philli. chukchasapa, chukchalu. adj. cabelludo, -da."
chukchu,chukchu,chukchu,s.,Malaria. Fiebre palúdica,Malaria. Fiebre palúdica.
chukchuy,chukchuy,chukchuy,intr.,"Tiritar de susto, fiebre o frío","Tiritar de susto, fiebre o frío."
chukchuyuq,chukchuyuq,chukchuyuq,adj. y s.,Enfermo de malaria,Enfermo de malaria.
chuki,chuki,chuki,adj.,"Duro, consistente, de material recio. chuki. fig. s. Espada. Arma blanca recta y larga","Duro, consistente, de material recio. chuki. fig. s. Espada. Arma blanca recta y larga."
chuki,chuki,chuki,s.,"Lanza, arma ofensiva cortante","Lanza, arma ofensiva cortante. | Estoque. | alfanje."
chukichay,chukichay,chukichay,tr.,"Alancear, dar lanzadas, herir con lanza","Alancear, dar lanzadas, herir con lanza."
chukichinchay,chukichinchay,chukichinchay,s.,Constelación de Leo,Constelación de Leo.
chuku,chuku,chuku,s.,Sombrero. Prenda que cubre la cabeza,Sombrero. Prenda que cubre la cabeza.
chukuna,chukuna,"chukuna, tiyana",s.,"Asiento. Silla, banco u otro objeto para sentarse","Asiento. Silla, banco u otro objeto para sentarse."
chukupayay,chukupayay,chukupayay,tr.,fig. Realizar frecuentes visitas para pedir un favor,fig. Realizar frecuentes visitas para pedir un favor.
chukuq,chukuq,chukuq,adj. y s.,"El o la que se acuclilla. chukuy, chukukuy, runkukuy","El o la que se acuclilla. chukuy, chukukuy, runkukuy,"
runkhukuy,runkhukuy,runkhukuy,intr.,Acuclillarse. Ponerse en cuclillas,Acuclillarse. Ponerse en cuclillas. | Usthuy (JL).
chullaykuy,chullaykuy,chullaykuy,intr.,"Zambullir, meterse al agua de forma impetuosa y rápida. chullchu, chullchuq, tunuku. adj. Achacoso. Que padece achaque habitual","Zambullir, meterse al agua de forma impetuosa y rápida. chullchu, chullchuq, tunuku. adj. Achacoso. Que padece achaque habitual. | Wañuq wañuq, qarwa runa, umphu."
chullchu,chullchu,chullchu,adj.,"Descaecido, decaído, sin fuerzas","Descaecido, decaído, sin fuerzas."
chullchuy,chullchuy,"chullchuy, kallpa manay",intr.,Perder las fuerzas,"Perder las fuerzas. | Descaecer. Decaer, estar agobiado. Umphuy. chulli, chhulli unquy. Ch'ulli, ch'ulli"
unquy,unquy,unquy,s.,Catarro. Resfriado,Catarro. Resfriado.
chullikuy,chullikuy,chullikuy,tr.,"Agavillar la mies segada, la paja o la leña","Agavillar la mies segada, la paja o la leña. | Payaqay. Agavillar. Formar o atar gavillas para cargar. | Kallchay, qallchay. Formar gavillas erguidas."
chullmi,chullmi,"chullmi, suwa",s.,Ladrón. Persona que hurta,Ladrón. Persona que hurta.
chullmiy,chullmiy,"chullmiy, laq'uchiy, ch'aspay",tr.,Hurtar. Robar sin violencia,Hurtar. Robar sin violencia.
chullpa,chullpa,chullpa,s.,Momia. Cadáver conservado en tumbas antiguas,"Momia. Cadáver conservado en tumbas antiguas. | Cadáver seco, cadáver conservado o embalsamado. Munaw."
chullpa,chullpa,chullpa,s.,Sarcófago antiguo,Sarcófago antiguo.
chullpi,chullpi,chullpi,s.,"Callo. Dureza que se forma en los pies, manos, rodillas, etc. chulluchiy, unuyachiy, yakuyachiy. tr. Derretir. Licuar por el calor, hacer derretir","Callo. Dureza que se forma en los pies, manos, rodillas, etc. chulluchiy, unuyachiy, yakuyachiy. tr. Derretir. Licuar por el calor, hacer derretir. | Poner en remojo. chulluy, unuyay, yakuyay. intr. Derretirse. Licuarse por el calor."
chulluy,chulluy,chulluy,intr.,"Remojarse. chulluyachiy, chulluchiy, unuyachiy. tr. Disolver. Diluir","Remojarse. chulluyachiy, chulluchiy, unuyachiy. tr. Disolver. Diluir. | Desatar. Phaskay."
chuma,chuma,"chuma, jamya, qama, laq'a",adj.,"Soso, -sa. Falto de sal, insípido, sin gusto","Soso, -sa. Falto de sal, insípido, sin gusto."
chumpa,chumpa,chumpa,s.,Tinaja vasija de arcilla,Tinaja vasija de arcilla.
chumpana,chumpana,chumpana,s.,"Gabán. Abrigo, sobretodo, capote con mangas","Gabán. Abrigo, sobretodo, capote con mangas."
chumpi,chumpi,chumpi,s.,"Faja. Prenda que ciñe la cintura. chumpillikuy. r. y prnl. Ceñirse la faja. chumpillina. Wiqar. s. Cintura. Parte más estrecha del cuerpo humano, por encima de las caderas","Faja. Prenda que ciñe la cintura. chumpillikuy. r. y prnl. Ceñirse la faja. chumpillina. Wiqar. s. Cintura. Parte más estrecha del cuerpo humano, por encima de las caderas."
chumpiy,chumpiy,"chumpiy, chumpilliy",tr.,Fajar. Rodear o envolver con faja,"Fajar. Rodear o envolver con faja. | r. y prnl. Fajarse. Chumpikuy, chumpillikuy."
chunka iskayniyuq,chunka iskayniyuq,chunka iskayniyuq,adj.,Doce,Doce.
chunka jisq'unniyuq,chunka jisq'unniyuq,chunka jisq'unniyuq,adj.,Diecinueve,Diecinueve.
chunka jukniyuq,chunka jukniyuq,chunka jukniyuq,adj.,Once. Diez y uno,Once. Diez y uno.
chunka kimsayuq,chunka kimsayuq,chunka kimsayuq,adj.,Trece. Diez y tres,Trece. Diez y tres.
chunka pusaqniyuq,chunka pusaqniyuq,chunka pusaqniyuq,adj.,Dieciocho,Dieciocho.
chunka phichqayuq,chunka phichqayuq,chunka phichqayuq,adj.,Quince. Diez y cinco,Quince. Diez y cinco.
chunka qanchisniyuq,chunka qanchisniyuq,chunka qanchisniyuq,adj.,Diecisiete,Diecisiete.
chunka suqtayuq,chunka suqtayuq,chunka suqtayuq,adj.,Dieciséis,Dieciséis.
chunka tawayuq,chunka tawayuq,chunka tawayuq,adj.,Catorce. Diez más cuatro,Catorce. Diez más cuatro.
chunka,chunka,chunka,adj.,Diez,Diez.
chunkachiy,chunkachiy,chunkachiy,tr.,Contar de diez en diez,Contar de diez en diez.
